Industry,Industry Description,Year,Value Added (Billions Chained 2009)
44RT,"Retail trade",2006,929.8
452,"General merchandise stores",2006,126.3
481,"Air transportation",2006,69.4
482,"Rail transportation",2006,37.3
483,"Water transportation",2006,8.9
484,"Truck transportation",2006,133.6
485,"Transit and ground passenger transportation",2006,30.4
486,"Pipeline transportation",2006,13.0
487OS,"Other transportation and support activities",2006,103.7
48TW,"Transportation and warehousing",2006,439.9
493,"Warehousing and storage",2006,45.9
4A0,"Other retail",2006,493.3
51,"Information",2006,635.6
511,"Publishing industries, except internet (includes software)",2006,166.4
512,"Motion picture and sound recording industries",2006,66.8
513,"Broadcasting and telecommunications",2006,323.1
514,"Data processing, internet publishing, and other information services",2006,79.4
52,"Finance and insurance",2006,988.9
521CI,"Federal Reserve banks, credit intermediation, and related activities",2006,374.3
523,"Securities, commodity contracts, and investments",2006,238.5
524,"Insurance carriers and related activities",2006,366.3
525,"Funds, trusts, and other financial vehicles",2006,18.0
53,"Real estate and rental and leasing",2006,1816.3
531,"Real estate",2006,1630.6
532RL,"Rental and leasing services and lessors of intangible assets",2006,186.5
54,"Professional, scientific, and technical services",2006,960.3
5411,"Legal services",2006,224.4
5412OP,"Miscellaneous professional, scientific, and technical services",2006,587.1
5415,"Computer systems design and related services",2006,149.5
55,"Management of companies and enterprises",2006,278.6
56,"Administrative and waste management services",2006,420.4
561,"Administrative and support services",2006,385.5
562,"Waste management and remediation services",2006,34.8
6,"Educational services, health care, and social assistance",2006,1117.3
61,"Educational services",2006,146.5
62,"Health care and social assistance",2006,970.8
621,"Ambulatory health care services",2006,465.2
622,"Hospitals",2006,306.1
623,"Nursing and residential care facilities",2006,116.0
624,"Social assistance",2006,83.6
7,"Arts, entertainment, recreation, accommodation, and food services",2006,572.1
71,"Arts, entertainment, and recreation",2006,142.0
711AS,"Performing arts, spectator sports, museums, and related activities",2006,80.7
713,"Amusements, gambling, and recreation industries",2006,61.4
72,"Accommodation and food services",2006,430.3
721,"Accommodation",2006,122.2
722,"Food services and drinking places",2006,307.9
81,"Other services, except government",2006,370.1
FIRE,"Finance, insurance, real estate, rental, and leasing",2006,2815.6
G,"Government",2006,1996.7
GDP,"Gross domestic product",2006,14613.8
GF,"Federal",2006,622.2
GFE,"Government enterprises",2006,78.8
GFG,"General government",2006,545.3
GFGD,"National defense",2006,335.8
GFGN,"Nondefense",2006,209.6
GSL,"State and local",2006,1374.7
GSLE,"Government enterprises",2006,112.4
GSLG,"General government",2006,1264.1
HS,"Housing",2006,1411.0
ICT,"Information-communications-technology-producing industries [4]",2006,734.5
NABI,"Not allocated by industry [1]",2006,-144.0
ORE,"Other real estate",2006,225.6
PGOOD,"Private goods-producing industries [2]",2006,2953.6
PROF,"Professional and business services",2006,1658.2
PSERV,"Private services-producing industries [3]",2006,9718.7
PVT,"Private industries",2006,12678.6
11,"Agriculture, forestry, fishing, and hunting",2007,114.3
111CA,"Farms",2007,86.2
113FF,"Forestry, fishing, and related activities",2007,29.2
21,"Mining",2007,251.3
211,"Oil and gas extraction",2007,140.2
212,"Mining, except oil and gas",2007,72.3
213,"Support activities for mining",2007,47.1
22,"Utilities",2007,267.4
23,"Construction",2007,725.1
311FT,"Food and beverage and tobacco products",2007,236.4
313TT,"Textile mills and textile product mills",2007,20.3
315AL,"Apparel and leather and allied products",2007,11.8
31G,"Manufacturing",2007,1924.8
31ND,"Nondurable goods",2007,888.3
321,"Wood products",2007,26.8
322,"Paper products",2007,64.2
323,"Printing and related support activities",2007,46.7
324,"Petroleum and coal products",2007,110.6
325,"Chemical products",2007,333.6
326,"Plastics and rubber products",2007,71.1
327,"Nonmetallic mineral products",2007,51.2
