Industry,Industry Description,Year,GDP (Millions Chained 2009)
83,"Federal civilian",2011,746
83,"Federal civilian",2012,764
83,"Federal civilian",2013,776
83,"Federal civilian",2014,792
52,"Federal Reserve banks, credit intermediation, and related services",2005,428
52,"Federal Reserve banks, credit intermediation, and related services",2006,396
52,"Federal Reserve banks, credit intermediation, and related services",2007,413
52,"Federal Reserve banks, credit intermediation, and related services",2008,424
52,"Federal Reserve banks, credit intermediation, and related services",2009,423
52,"Federal Reserve banks, credit intermediation, and related services",2010,385
52,"Federal Reserve banks, credit intermediation, and related services",2011,401
52,"Federal Reserve banks, credit intermediation, and related services",2012,398
52,"Federal Reserve banks, credit intermediation, and related services",2013,365
52,"Federal Reserve banks, credit intermediation, and related services",2014,350
59,"Professional and business services",2005,2017
59,"Professional and business services",2006,2033
59,"Professional and business services",2007,2046
59,"Professional and business services",2008,2218
59,"Professional and business services",2009,2136
59,"Professional and business services",2010,2201
59,"Professional and business services",2011,2333
59,"Professional and business services",2012,2438
59,"Professional and business services",2013,2492
59,"Professional and business services",2014,2538
59,"Professional and business services",2015,2601
16,"Primary metals manufacturing",2005,24
16,"Primary metals manufacturing",2006,18
16,"Primary metals manufacturing",2007,14
16,"Primary metals manufacturing",2008,13
16,"Primary metals manufacturing",2009,13
16,"Primary metals manufacturing",2010,12
16,"Primary metals manufacturing",2011,15
16,"Primary metals manufacturing",2012,17
16,"Primary metals manufacturing",2013,16
16,"Primary metals manufacturing",2014,17
78,"Accommodation and food services",2005,1249
78,"Accommodation and food services",2006,1225
78,"Accommodation and food services",2007,1201
78,"Accommodation and food services",2008,1155
78,"Accommodation and food services",2009,1086
78,"Accommodation and food services",2010,1138
78,"Accommodation and food services",2011,1192
78,"Accommodation and food services",2012,1221
78,"Accommodation and food services",2013,1278
78,"Accommodation and food services",2014,1295
78,"Accommodation and food services",2015,1329
63,"Miscellaneous professional, scientific, and technical services",2005,912
63,"Miscellaneous professional, scientific, and technical services",2006,905
63,"Miscellaneous professional, scientific, and technical services",2007,896
63,"Miscellaneous professional, scientific, and technical services",2008,977
63,"Miscellaneous professional, scientific, and technical services",2009,894
63,"Miscellaneous professional, scientific, and technical services",2010,933
63,"Miscellaneous professional, scientific, and technical services",2011,941
63,"Miscellaneous professional, scientific, and technical services",2012,956
63,"Miscellaneous professional, scientific, and technical services",2013,950
63,"Miscellaneous professional, scientific, and technical services",2014,926
40,"Truck transportation",2005,240
40,"Truck transportation",2006,242
40,"Truck transportation",2007,232
40,"Truck transportation",2008,223
40,"Truck transportation",2009,207
40,"Truck transportation",2010,226
40,"Truck transportation",2011,229
40,"Truck transportation",2012,222
40,"Truck transportation",2013,207
40,"Truck transportation",2014,200
33,"Plastics and rubber products manufacturing",2005,70
33,"Plastics and rubber products manufacturing",2006,92
33,"Plastics and rubber products manufacturing",2007,93
33,"Plastics and rubber products manufacturing",2008,85
33,"Plastics and rubber products manufacturing",2009,78
33,"Plastics and rubber products manufacturing",2010,86
33,"Plastics and rubber products manufacturing",2011,93
33,"Plastics and rubber products manufacturing",2012,92
33,"Plastics and rubber products manufacturing",2013,92
33,"Plastics and rubber products manufacturing",2014,97
5,"Forestry, fishing, and related activities",2005,76
5,"Forestry, fishing, and related activities",2006,83
5,"Forestry, fishing, and related activities",2007,70
5,"Forestry, fishing, and related activities",2008,68
5,"Forestry, fishing, and related activities",2009,67
5,"Forestry, fishing, and related activities",2010,73
5,"Forestry, fishing, and related activities",2011,69
5,"Forestry, fishing, and related activities",2012,70
5,"Forestry, fishing, and related activities",2013,67
5,"Forestry, fishing, and related activities",2014,72
66,"Administrative and support services",2005,368
66,"Administrative and support services",2006,369
66,"Administrative and support services",2007,391
66,"Administrative and support services",2008,434
66,"Administrative and support services",2009,434
66,"Administrative and support services",2010,437
66,"Administrative and support services",2011,494
66,"Administrative and support services",2012,548
66,"Administrative and support services",2013,584
66,"Administrative and support services",2014,619
9,"Support activities for mining",2011,2
9,"Support activities for mining",2012,2
9,"Support activities for mining",2013,2
9,"Support activities for mining",2014,1
12,"Manufacturing",2005,2860
12,"Manufacturing",2006,3189
12,"Manufacturing",2007,2964
12,"Manufacturing",2008,3085
12,"Manufacturing",2009,2643
12,"Manufacturing",2010,3110
12,"Manufacturing",2011,3206
12,"Manufacturing",2012,3084
12,"Manufacturing",2013,2686
12,"Manufacturing",2014,2625
12,"Manufacturing",2015,2554
80,"Food services and drinking places",2005,581
80,"Food services and drinking places",2006,574
80,"Food services and drinking places",2007,551
80,"Food services and drinking places",2008,526
80,"Food services and drinking places",2009,493
80,"Food services and drinking places",2010,506
80,"Food services and drinking places",2011,530
80,"Food services and drinking places",2012,543
80,"Food services and drinking places",2013,550
80,"Food services and drinking places",2014,570
8,"Mining, except oil and gas",2005,196
8,"Mining, except oil and gas",2006,200
8,"Mining, except oil and gas",2007,181
8,"Mining, except oil and gas",2008,169
8,"Mining, except oil and gas",2009,226
8,"Mining, except oil and gas",2010,215
8,"Mining, except oil and gas",2011,195
8,"Mining, except oil and gas",2012,185
8,"Mining, except oil and gas",2013,203
8,"Mining, except oil and gas",2014,228
7,"Oil and gas extraction",2005,0
7,"Oil and gas extraction",2006,0
7,"Oil and gas extraction",2007,0
7,"Oil and gas extraction",2008,0
7,"Oil and gas extraction",2009,0
7,"Oil and gas extraction",2010,0
7,"Oil and gas extraction",2011,0
7,"Oil and gas extraction",2012,0
7,"Oil and gas extraction",2013,0
7,"Oil and gas extraction",2014,0
62,"Computer systems design and related services",2005,301
62,"Computer systems design and related services",2006,360
62,"Computer systems design and related services",2007,344
62,"Computer systems design and related services",2008,330
62,"Computer systems design and related services",2009,354
62,"Computer systems design and related services",2010,348
62,"Computer systems design and related services",2011,393
62,"Computer systems design and related services",2012,398
62,"Computer systems design and related services",2013,419
62,"Computer systems design and related services",2014,441
6,"Mining",2005,196
6,"Mining",2006,200
6,"Mining",2007,181
6,"Mining",2008,169
6,"Mining",2009,226
6,"Mining",2010,215
6,"Mining",2011,197
6,"Mining",2012,186
6,"Mining",2013,204
6,"Mining",2014,229
6,"Mining",2015,178
