Industry,Industry Description,Year,GDP (Billions Chained 2009)
445,"Food and beverage stores",2006,205.2
44RT,"Retail trade",2006,1366.0
452,"General merchandise stores",2006,187.7
481,"Air transportation",2006,150.3
482,"Rail transportation",2006,65.2
483,"Water transportation",2006,39.1
484,"Truck transportation",2006,287.3
485,"Transit and ground passenger transportation",2006,46.9
486,"Pipeline transportation",2006,26.8
487OS,"Other transportation and support activities",2006,179.8
48TW,"Transportation and warehousing",2006,862.3
493,"Warehousing and storage",2006,67.6
4A0,"Other retail",2006,758.6
51,"Information",2006,1164.6
511,"Publishing industries, except internet (includes software)",2006,301.7
512,"Motion picture and sound recording industries",2006,139.1
513,"Broadcasting and telecommunications",2006,613.5
514,"Data processing, internet publishing, and other information services",2006,110.9
52,"Finance and insurance",2006,1911.0
521CI,"Federal Reserve banks, credit intermediation, and related activities",2006,674.8
523,"Securities, commodity contracts, and investments",2006,469.1
524,"Insurance carriers and related activities",2006,671.8
525,"Funds, trusts, and other financial vehicles",2006,95.3
53,"Real estate and rental and leasing",2006,2720.1
531,"Real estate",2006,2442.5
532RL,"Rental and leasing services and lessors of intangible assets",2006,277.4
54,"Professional, scientific, and technical services",2006,1510.2
5411,"Legal services",2006,304.0
5412OP,"Miscellaneous professional, scientific, and technical services",2006,982.5
5415,"Computer systems design and related services",2006,225.2
55,"Management of companies and enterprises",2006,428.2
56,"Administrative and waste management services",2006,655.1
561,"Administrative and support services",2006,576.2
562,"Waste management and remediation services",2006,79.1
6,"Educational services, health care, and social assistance",2006,1815.9
61,"Educational services",2006,229.0
62,"Health care and social assistance",2006,1586.8
621,"Ambulatory health care services",2006,730.0
622,"Hospitals",2006,544.1
623,"Nursing and residential care facilities",2006,178.7
624,"Social assistance",2006,133.9
7,"Arts, entertainment, recreation, accommodation, and food services",2006,993.4
71,"Arts, entertainment, and recreation",2006,236.7
711AS,"Performing arts, spectator sports, museums, and related activities",2006,126.5
713,"Amusements, gambling, and recreation industries",2006,110.2
72,"Accommodation and food services",2006,757.1
721,"Accommodation",2006,201.7
722,"Food services and drinking places",2006,555.1
81,"Other services, except government",2006,574.1
FIRE,"Finance, insurance, real estate, rental, and leasing",2006,4629.7
G,"Government",2006,3041.1
GF,"Federal",2006,959.9
GFE,"Government enterprises",2006,104.8
GFG,"General government",2006,855.9
GFGD,"National defense",2006,553.5
GFGN,"Nondefense",2006,302.4
GSL,"State and local",2006,2081.2
GSLE,"Government enterprises",2006,230.3
GSLG,"General government",2006,1850.9
