Industry,Industry Description,Year,GDP (Billions Chained 2009)
5415,"Computer systems design and related services",2011,312.0
55,"Management of companies and enterprises",2011,474.3
56,"Administrative and waste management services",2011,704.3
561,"Administrative and support services",2011,623.7
562,"Waste management and remediation services",2011,80.9
6,"Educational services, health care, and social assistance",2011,2066.0
61,"Educational services",2011,278.5
62,"Health care and social assistance",2011,1787.4
621,"Ambulatory health care services",2011,810.4
622,"Hospitals",2011,630.0
623,"Nursing and residential care facilities",2011,194.6
624,"Social assistance",2011,152.4
7,"Arts, entertainment, recreation, accommodation, and food services",2011,991.3
71,"Arts, entertainment, and recreation",2011,251.5
711AS,"Performing arts, spectator sports, museums, and related activities",2011,134.1
713,"Amusements, gambling, and recreation industries",2011,117.5
72,"Accommodation and food services",2011,739.7
721,"Accommodation",2011,185.3
722,"Food services and drinking places",2011,554.4
81,"Other services, except government",2011,530.7
FIRE,"Finance, insurance, real estate, rental, and leasing",2011,4498.5
G,"Government",2011,3172.3
GF,"Federal",2011,1087.2
GFE,"Government enterprises",2011,89.7
GFG,"General government",2011,997.5
GFGD,"National defense",2011,650.9
GFGN,"Nondefense",2011,346.6
GSL,"State and local",2011,2085.2
GSLE,"Government enterprises",2011,241.8
GSLG,"General government",2011,1843.3
HS,"Housing",2011,1632.3
ICT,"Information-communications-technology-producing industries [4]",2011,1591.8
II,"All industries",2011,25849.1
NABI,"Not allocated by industry [1]",2011,-12.7
ORE,"Other real estate",2011,771.0
PGOOD,"Private goods-producing industries [2]",2011,6613.6
PROF,"Professional and business services",2011,2818.4
PSERV,"Private services-producing industries [3]",2011,16065.0
PVT,"Private industries",2011,22677.2
11,"Agriculture, forestry, fishing, and hunting",2012,330.2
111CA,"Farms",2012,289.4
113FF,"Forestry, fishing, and related activities",2012,40.8
21,"Mining",2012,457.1
211,"Oil and gas extraction",2012,261.7
212,"Mining, except oil and gas",2012,111.6
213,"Support activities for mining",2012,87.4
22,"Utilities",2012,367.9
23,"Construction",2012,1012.2
311FT,"Food and beverage and tobacco products",2012,773.6
313TT,"Textile mills and textile product mills",2012,46.6
315AL,"Apparel and leather and allied products",2012,30.5
31G,"Manufacturing",2012,5037.3
31ND,"Nondurable goods",2012,2452.3
321,"Wood products",2012,72.3
322,"Paper products",2012,166.6
323,"Printing and related support activities",2012,82.4
324,"Petroleum and coal products",2012,484.7
325,"Chemical products",2012,676.8
326,"Plastics and rubber products",2012,192.3
327,"Nonmetallic mineral products",2012,96.0
331,"Primary metals",2012,218.1
332,"Fabricated metal products",2012,338.4
333,"Machinery",2012,387.2
334,"Computer and electronic products",2012,394.9
335,"Electrical equipment, appliances, and components",2012,114.4
3361MV,"Motor vehicles, bodies and trailers, and parts",2012,491.7
3364OT,"Other transportation equipment",2012,281.6
337,"Furniture and related products",2012,63.2
339,"Miscellaneous manufacturing",2012,146.7
33DG,"Durable goods",2012,2605.2
42,"Wholesale trade",2012,1345.2
441,"Motor vehicle and parts dealers",2012,226.9
445,"Food and beverage stores",2012,197.9
44RT,"Retail trade",2012,1378.1
452,"General merchandise stores",2012,185.6
481,"Air transportation",2012,145.4
482,"Rail transportation",2012,67.0
483,"Water transportation",2012,53.5
484,"Truck transportation",2012,270.5
485,"Transit and ground passenger transportation",2012,45.9
486,"Pipeline transportation",2012,24.0
487OS,"Other transportation and support activities",2012,168.4
48TW,"Transportation and warehousing",2012,862.1
493,"Warehousing and storage",2012,89.3
4A0,"Other retail",2012,770.2
51,"Information",2012,1358.9
511,"Publishing industries, except internet (includes software)",2012,299.8
512,"Motion picture and sound recording industries",2012,142.3
513,"Broadcasting and telecommunications",2012,743.9
514,"Data processing, internet publishing, and other information services",2012,172.8
52,"Finance and insurance",2012,1810.1
521CI,"Federal Reserve banks, credit intermediation, and related activities",2012,598.5
523,"Securities, commodity contracts, and investments",2012,387.5
524,"Insurance carriers and related activities",2012,724.0
525,"Funds, trusts, and other financial vehicles",2012,102.1
53,"Real estate and rental and leasing",2012,2754.1
531,"Real estate",2012,2464.0
532RL,"Rental and leasing services and lessors of intangible assets",2012,290.0
54,"Professional, scientific, and technical services",2012,1687.7
5411,"Legal services",2012,268.9
5412OP,"Miscellaneous professional, scientific, and technical services",2012,1089.3
5415,"Computer systems design and related services",2012,331.3
55,"Management of companies and enterprises",2012,516.0
56,"Administrative and waste management services",2012,729.0
561,"Administrative and support services",2012,649.2
562,"Waste management and remediation services",2012,80.2
6,"Educational services, health care, and social assistance",2012,2113.8
61,"Educational services",2012,276.9
62,"Health care and social assistance",2012,1836.9
621,"Ambulatory health care services",2012,829.8
622,"Hospitals",2012,656.6
623,"Nursing and residential care facilities",2012,198.2
624,"Social assistance",2012,152.3
7,"Arts, entertainment, recreation, accommodation, and food services",2012,1022.5
71,"Arts, entertainment, and recreation",2012,259.1
711AS,"Performing arts, spectator sports, museums, and related activities",2012,138.7
713,"Amusements, gambling, and recreation industries",2012,120.4
72,"Accommodation and food services",2012,763.4
721,"Accommodation",2012,193.7
722,"Food services and drinking places",2012,569.7
81,"Other services, except government",2012,547.7
FIRE,"Finance, insurance, real estate, rental, and leasing",2012,4561.1
G,"Government",2012,3150.0
GF,"Federal",2012,1077.3
GFE,"Government enterprises",2012,91.8
GFG,"General government",2012,985.7
GFGD,"National defense",2012,635.6
GFGN,"Nondefense",2012,350.0
GSL,"State and local",2012,2072.7
GSLE,"Government enterprises",2012,244.7
GSLG,"General government",2012,1828.0
HS,"Housing",2012,1641.8
ICT,"Information-communications-technology-producing industries [4]",2012,1656.3
II,"All industries",2012,26488.5
NABI,"Not allocated by industry [1]",2012,-24.3
ORE,"Other real estate",2012,822.8
PGOOD,"Private goods-producing industries [2]",2012,6845.4
PROF,"Professional and business services",2012,2932.4
PSERV,"Private services-producing industries [3]",2012,16490.0
PVT,"Private industries",2012,23338.4
11,"Agriculture, forestry, fishing, and hunting",2013,349.1
111CA,"Farms",2013,307.6
113FF,"Forestry, fishing, and related activities",2013,41.3
21,"Mining",2013,483.6
211,"Oil and gas extraction",2013,288.5
212,"Mining, except oil and gas",2013,109.8
213,"Support activities for mining",2013,87.0
22,"Utilities",2013,378.5
23,"Construction",2013,1049.0
311FT,"Food and beverage and tobacco products",2013,783.6
313TT,"Textile mills and textile product mills",2013,48.2
315AL,"Apparel and leather and allied products",2013,30.4
31G,"Manufacturing",2013,5126.8
31ND,"Nondurable goods",2013,2488.6
321,"Wood products",2013,76.5
322,"Paper products",2013,166.9
323,"Printing and related support activities",2013,81.9
324,"Petroleum and coal products",2013,500.6
325,"Chemical products",2013,678.5
326,"Plastics and rubber products",2013,195.7
327,"Nonmetallic mineral products",2013,99.8
331,"Primary metals",2013,225.8
332,"Fabricated metal products",2013,343.3
333,"Machinery",2013,371.6
334,"Computer and electronic products",2013,393.6
335,"Electrical equipment, appliances, and components",2013,114.2
3361MV,"Motor vehicles, bodies and trailers, and parts",2013,524.9
3364OT,"Other transportation equipment",2013,290.2
337,"Furniture and related products",2013,65.7
339,"Miscellaneous manufacturing",2013,152.7
33DG,"Durable goods",2013,2660.1
42,"Wholesale trade",2013,1389.7
441,"Motor vehicle and parts dealers",2013,237.7
445,"Food and beverage stores",2013,197.2
44RT,"Retail trade",2013,1422.7
452,"General merchandise stores",2013,190.0
481,"Air transportation",2013,146.7
482,"Rail transportation",2013,67.0
483,"Water transportation",2013,54.8
484,"Truck transportation",2013,274.9
485,"Transit and ground passenger transportation",2013,46.1
486,"Pipeline transportation",2013,24.1
487OS,"Other transportation and support activities",2013,170.5
48TW,"Transportation and warehousing",2013,875.4
493,"Warehousing and storage",2013,93.6
4A0,"Other retail",2013,800.7
51,"Information",2013,1400.6
511,"Publishing industries, except internet (includes software)",2013,306.1
512,"Motion picture and sound recording industries",2013,145.4
513,"Broadcasting and telecommunications",2013,762.3
514,"Data processing, internet publishing, and other information services",2013,186.8
52,"Finance and insurance",2013,1836.5
521CI,"Federal Reserve banks, credit intermediation, and related activities",2013,576.1
523,"Securities, commodity contracts, and investments",2013,392.5
524,"Insurance carriers and related activities",2013,756.8
525,"Funds, trusts, and other financial vehicles",2013,114.7
53,"Real estate and rental and leasing",2013,2828.6
531,"Real estate",2013,2522.8
532RL,"Rental and leasing services and lessors of intangible assets",2013,305.6
54,"Professional, scientific, and technical services",2013,1694.1
5411,"Legal services",2013,262.5
5412OP,"Miscellaneous professional, scientific, and technical services",2013,1098.8
5415,"Computer systems design and related services",2013,335.3
55,"Management of companies and enterprises",2013,537.3
56,"Administrative and waste management services",2013,745.3
561,"Administrative and support services",2013,665.6
562,"Waste management and remediation services",2013,80.2
6,"Educational services, health care, and social assistance",2013,2138.3
61,"Educational services",2013,276.9
62,"Health care and social assistance",2013,1861.6
621,"Ambulatory health care services",2013,840.9
622,"Hospitals",2013,667.9
623,"Nursing and residential care facilities",2013,201.4
624,"Social assistance",2013,151.4
7,"Arts, entertainment, recreation, accommodation, and food services",2013,1044.0
71,"Arts, entertainment, and recreation",2013,265.6
711AS,"Performing arts, spectator sports, museums, and related activities",2013,141.0
713,"Amusements, gambling, and recreation industries",2013,124.6
72,"Accommodation and food services",2013,778.4
721,"Accommodation",2013,199.0
722,"Food services and drinking places",2013,579.5
81,"Other services, except government",2013,547.0
FIRE,"Finance, insurance, real estate, rental, and leasing",2013,4661.1
G,"Government",2013,3086.3
GF,"Federal",2013,1016.2
GFE,"Government enterprises",2013,84.2
GFG,"General government",2013,932.0
GFGD,"National defense",2013,594.1
GFGN,"Nondefense",2013,337.8
GSL,"State and local",2013,2069.4
GSLE,"Government enterprises",2013,244.1
GSLG,"General government",2013,1825.3
HS,"Housing",2013,1644.2
ICT,"Information-communications-technology-producing industries [4]",2013,1708.0
II,"All industries",2013,26944.2
NABI,"Not allocated by industry [1]",2013,-20.5
ORE,"Other real estate",2013,880.3
PGOOD,"Private goods-producing industries [2]",2013,7019.8
PROF,"Professional and business services",2013,2976.0
PSERV,"Private services-producing industries [3]",2013,16832.7
PVT,"Private industries",2013,23857.5
11,"Agriculture, forestry, fishing, and hunting",2014,360.4
111CA,"Farms",2014,314.3
113FF,"Forestry, fishing, and related activities",2014,46.5
21,"Mining",2014,540.4
211,"Oil and gas extraction",2014,324.4
212,"Mining, except oil and gas",2014,118.8
213,"Support activities for mining",2014,98.9
22,"Utilities",2014,390.5
23,"Construction",2014,1093.8
311FT,"Food and beverage and tobacco products",2014,776.8
313TT,"Textile mills and textile product mills",2014,48.8
315AL,"Apparel and leather and allied products",2014,29.5
31G,"Manufacturing",2014,5170.7
31ND,"Nondurable goods",2014,2465.2
321,"Wood products",2014,77.2
322,"Paper products",2014,166.1
323,"Printing and related support activities",2014,81.9
324,"Petroleum and coal products",2014,487.4
325,"Chemical products",2014,673.8
326,"Plastics and rubber products",2014,201.7
327,"Nonmetallic mineral products",2014,103.8
331,"Primary metals",2014,224.4
332,"Fabricated metal products",2014,354.3
333,"Machinery",2014,373.8
334,"Computer and electronic products",2014,395.2
335,"Electrical equipment, appliances, and components",2014,116.1
3361MV,"Motor vehicles, bodies and trailers, and parts",2014,567.6
3364OT,"Other transportation equipment",2014,303.3
337,"Furniture and related products",2014,66.1
339,"Miscellaneous manufacturing",2014,152.9
33DG,"Durable goods",2014,2736.2
42,"Wholesale trade",2014,1419.9
441,"Motor vehicle and parts dealers",2014,246.4
445,"Food and beverage stores",2014,200.3
44RT,"Retail trade",2014,1467.8
452,"General merchandise stores",2014,195.2
481,"Air transportation",2014,150.4
482,"Rail transportation",2014,71.2
483,"Water transportation",2014,54.2
484,"Truck transportation",2014,289.9
485,"Transit and ground passenger transportation",2014,47.6
486,"Pipeline transportation",2014,25.7
487OS,"Other transportation and support activities",2014,177.3
48TW,"Transportation and warehousing",2014,910.8
493,"Warehousing and storage",2014,96.9
4A0,"Other retail",2014,829.1
51,"Information",2014,1464.2
511,"Publishing industries, except internet (includes software)",2014,317.4
512,"Motion picture and sound recording industries",2014,141.8
513,"Broadcasting and telecommunications",2014,804.7
514,"Data processing, internet publishing, and other information services",2014,200.5
52,"Finance and insurance",2014,1874.1
521CI,"Federal Reserve banks, credit intermediation, and related activities",2014,571.4
523,"Securities, commodity contracts, and investments",2014,391.4
524,"Insurance carriers and related activities",2014,807.7
525,"Funds, trusts, and other financial vehicles",2014,111.7
53,"Real estate and rental and leasing",2014,2942.7
531,"Real estate",2014,2623.9
532RL,"Rental and leasing services and lessors of intangible assets",2014,318.5
54,"Professional, scientific, and technical services",2014,1746.4
5411,"Legal services",2014,259.0
5412OP,"Miscellaneous professional, scientific, and technical services",2014,1143.2
5415,"Computer systems design and related services",2014,348.1
55,"Management of companies and enterprises",2014,578.8
56,"Administrative and waste management services",2014,793.8
561,"Administrative and support services",2014,712.2
562,"Waste management and remediation services",2014,82.3
6,"Educational services, health care, and social assistance",2014,2191.7
61,"Educational services",2014,279.5
62,"Health care and social assistance",2014,1912.5
621,"Ambulatory health care services",2014,870.3
622,"Hospitals",2014,682.5
623,"Nursing and residential care facilities",2014,205.5
624,"Social assistance",2014,154.3
7,"Arts, entertainment, recreation, accommodation, and food services",2014,1083.0
71,"Arts, entertainment, and recreation",2014,272.9
711AS,"Performing arts, spectator sports, museums, and related activities",2014,145.0
713,"Amusements, gambling, and recreation industries",2014,128.0
72,"Accommodation and food services",2014,810.0
721,"Accommodation",2014,207.3
722,"Food services and drinking places",2014,602.6
81,"Other services, except government",2014,571.8
FIRE,"Finance, insurance, real estate, rental, and leasing",2014,4810.9
G,"Government",2014,3067.7
GF,"Federal",2014,994.2
GFE,"Government enterprises",2014,81.4
GFG,"General government",2014,912.9
GFGD,"National defense",2014,573.5
GFGN,"Nondefense",2014,339.1
GSL,"State and local",2014,2072.5
GSLE,"Government enterprises",2014,240.4
GSLG,"General government",2014,1832.1
HS,"Housing",2014,1670.2
ICT,"Information-communications-technology-producing industries [4]",2014,1789.3
II,"All industries",2014,27674.5
NABI,"Not allocated by industry [1]",2014,-47.0
ORE,"Other real estate",2014,957.2
PGOOD,"Private goods-producing industries [2]",2014,7180.5
PROF,"Professional and business services",2014,3117.6
PSERV,"Private services-producing industries [3]",2014,17426.1
PVT,"Private industries",2014,24606.8
11,"Agriculture, forestry, fishing, and hunting",2015,362.3
111CA,"Farms",2015,317.3
113FF,"Forestry, fishing, and related activities",2015,45.3
21,"Mining",2015,502.8
211,"Oil and gas extraction",2015,328.4
212,"Mining, except oil and gas",2015,106.5
213,"Support activities for mining",2015,70.8
22,"Utilities",2015,385.2
23,"Construction",2015,1183.2
311FT,"Food and beverage and tobacco products",2015,799.3
313TT,"Textile mills and textile product mills",2015,48.7
315AL,"Apparel and leather and allied products",2015,29.2
31G,"Manufacturing",2015,5309.1
31ND,"Nondurable goods",2015,2549.8
321,"Wood products",2015,80.3
322,"Paper products",2015,164.1
323,"Printing and related support activities",2015,85.2
324,"Petroleum and coal products",2015,492.3
325,"Chemical products",2015,732.8
326,"Plastics and rubber products",2015,199.2
327,"Nonmetallic mineral products",2015,101.8
331,"Primary metals",2015,214.6
332,"Fabricated metal products",2015,352.9
333,"Machinery",2015,355.1
334,"Computer and electronic products",2015,401.7
335,"Electrical equipment, appliances, and components",2015,113.7
3361MV,"Motor vehicles, bodies and trailers, and parts",2015,632.7
3364OT,"Other transportation equipment",2015,311.4
337,"Furniture and related products",2015,69.0
339,"Miscellaneous manufacturing",2015,154.5
33DG,"Durable goods",2015,2788.1
42,"Wholesale trade",2015,1406.1
441,"Motor vehicle and parts dealers",2015,268.6
445,"Food and beverage stores",2015,197.0
44RT,"Retail trade",2015,1508.0
452,"General merchandise stores",2015,198.0
481,"Air transportation",2015,158.7
482,"Rail transportation",2015,67.4
483,"Water transportation",2015,52.8
484,"Truck transportation",2015,296.9
485,"Transit and ground passenger transportation",2015,48.8
486,"Pipeline transportation",2015,26.8
487OS,"Other transportation and support activities",2015,184.7
48TW,"Transportation and warehousing",2015,932.5
493,"Warehousing and storage",2015,98.7
4A0,"Other retail",2015,849.0
51,"Information",2015,1528.8
511,"Publishing industries, except internet (includes software)",2015,319.7
512,"Motion picture and sound recording industries",2015,147.3
513,"Broadcasting and telecommunications",2015,840.4
514,"Data processing, internet publishing, and other information services",2015,221.7
52,"Finance and insurance",2015,1897.5
521CI,"Federal Reserve banks, credit intermediation, and related activities",2015,583.9
523,"Securities, commodity contracts, and investments",2015,388.0
524,"Insurance carriers and related activities",2015,828.8
525,"Funds, trusts, and other financial vehicles",2015,106.7
53,"Real estate and rental and leasing",2015,3035.1
531,"Real estate",2015,2697.8
532RL,"Rental and leasing services and lessors of intangible assets",2015,337.4
54,"Professional, scientific, and technical services",2015,1792.8
5411,"Legal services",2015,262.9
5412OP,"Miscellaneous professional, scientific, and technical services",2015,1179.7
5415,"Computer systems design and related services",2015,354.3
55,"Management of companies and enterprises",2015,601.7
56,"Administrative and waste management services",2015,838.6
561,"Administrative and support services",2015,756.4
562,"Waste management and remediation services",2015,83.0
6,"Educational services, health care, and social assistance",2015,2296.2
61,"Educational services",2015,284.0
62,"Health care and social assistance",2015,2013.0
621,"Ambulatory health care services",2015,927.2
622,"Hospitals",2015,719.1
623,"Nursing and residential care facilities",2015,211.2
624,"Social assistance",2015,155.9
7,"Arts, entertainment, recreation, accommodation, and food services",2015,1140.7
71,"Arts, entertainment, and recreation",2015,287.9
711AS,"Performing arts, spectator sports, museums, and related activities",2015,151.5
713,"Amusements, gambling, and recreation industries",2015,136.5
72,"Accommodation and food services",2015,852.7
721,"Accommodation",2015,216.2
722,"Food services and drinking places",2015,636.5
81,"Other services, except government",2015,580.1
FIRE,"Finance, insurance, real estate, rental, and leasing",2015,4924.6
G,"Government",2015,3120.6
GF,"Federal",2015,995.3
GFE,"Government enterprises",2015,80.7
GFG,"General government",2015,914.7
GFGD,"National defense",2015,563.7
GFGN,"Nondefense",2015,350.5
GSL,"State and local",2015,2123.7
GSLE,"Government enterprises",2015,247.6
GSLG,"General government",2015,1876.2
HS,"Housing",2015,1708.5
ICT,"Information-communications-technology-producing industries [4]",2015,1858.9
II,"All industries",2015,28425.1
NABI,"Not allocated by industry [1]",2015,-54.5
ORE,"Other real estate",2015,993.4
PGOOD,"Private goods-producing industries [2]",2015,7376.0
PROF,"Professional and business services",2015,3231.2
PSERV,"Private services-producing industries [3]",2015,17928.6
PVT,"Private industries",2015,25305.1
