Industry,Industry Description,Year,Intermediate Inputs (Billions Chained 2009)
44RT,"Retail trade",2006,435.9
452,"General merchandise stores",2006,60.9
481,"Air transportation",2006,81.1
482,"Rail transportation",2006,27.6
483,"Water transportation",2006,30.9
484,"Truck transportation",2006,153.6
485,"Transit and ground passenger transportation",2006,16.7
486,"Pipeline transportation",2006,13.2
487OS,"Other transportation and support activities",2006,76.1
48TW,"Transportation and warehousing",2006,421.5
493,"Warehousing and storage",2006,21.8
4A0,"Other retail",2006,265.1
51,"Information",2006,530.5
511,"Publishing industries, except internet (includes software)",2006,135.2
512,"Motion picture and sound recording industries",2006,72.4
513,"Broadcasting and telecommunications",2006,292.1
514,"Data processing, internet publishing, and other information services",2006,30.6
52,"Finance and insurance",2006,915.5
521CI,"Federal Reserve banks, credit intermediation, and related activities",2006,301.0
523,"Securities, commodity contracts, and investments",2006,230.5
524,"Insurance carriers and related activities",2006,305.5
525,"Funds, trusts, and other financial vehicles",2006,78.1
53,"Real estate and rental and leasing",2006,897.6
531,"Real estate",2006,806.5
532RL,"Rental and leasing services and lessors of intangible assets",2006,91.4
54,"Professional, scientific, and technical services",2006,549.9
5411,"Legal services",2006,79.1
5412OP,"Miscellaneous professional, scientific, and technical services",2006,395.2
5415,"Computer systems design and related services",2006,75.6
55,"Management of companies and enterprises",2006,151.2
56,"Administrative and waste management services",2006,234.6
561,"Administrative and support services",2006,190.5
562,"Waste management and remediation services",2006,44.2
6,"Educational services, health care, and social assistance",2006,698.6
61,"Educational services",2006,82.8
62,"Health care and social assistance",2006,615.9
621,"Ambulatory health care services",2006,264.7
622,"Hospitals",2006,237.9
623,"Nursing and residential care facilities",2006,62.8
624,"Social assistance",2006,50.5
7,"Arts, entertainment, recreation, accommodation, and food services",2006,422.1
71,"Arts, entertainment, and recreation",2006,94.8
711AS,"Performing arts, spectator sports, museums, and related activities",2006,45.9
713,"Amusements, gambling, and recreation industries",2006,48.9
72,"Accommodation and food services",2006,327.4
721,"Accommodation",2006,79.5
722,"Food services and drinking places",2006,247.9
81,"Other services, except government",2006,205.0
FIRE,"Finance, insurance, real estate, rental, and leasing",2006,1813.7
G,"Government",2006,1046.5
GF,"Federal",2006,338.6
GFE,"Government enterprises",2006,27.8
GFG,"General government",2006,310.8
GFGD,"National defense",2006,218.0
GFGN,"Nondefense",2006,92.9
GSL,"State and local",2006,707.3
GSLE,"Government enterprises",2006,121.3
GSLG,"General government",2006,586.7
HS,"Housing",2006,135.2
ICT,"Information-communications-technology-producing industries [4]",2006,584.2
II,"All industries",2006,11527.2
NABI,"Not allocated by industry [1]",2006,6.6
ORE,"Other real estate",2006,671.7
PGOOD,"Private goods-producing industries [2]",2006,4442.7
PROF,"Professional and business services",2006,935.4
PSERV,"Private services-producing industries [3]",2006,6023.7
PVT,"Private industries",2006,10478.3
11,"Agriculture, forestry, fishing, and hunting",2007,225.2
111CA,"Farms",2007,209.6
113FF,"Forestry, fishing, and related activities",2007,15.5
21,"Mining",2007,149.7
211,"Oil and gas extraction",2007,75.6
212,"Mining, except oil and gas",2007,47.9
213,"Support activities for mining",2007,24.7
22,"Utilities",2007,172.4
23,"Construction",2007,633.8
311FT,"Food and beverage and tobacco products",2007,532.0
313TT,"Textile mills and textile product mills",2007,45.3
315AL,"Apparel and leather and allied products",2007,15.3
31G,"Manufacturing",2007,3457.7
31ND,"Nondurable goods",2007,1742.1
321,"Wood products",2007,69.1
322,"Paper products",2007,121.7
323,"Printing and related support activities",2007,58.6
324,"Petroleum and coal products",2007,392.4
325,"Chemical products",2007,432.9
326,"Plastics and rubber products",2007,146.2
327,"Nonmetallic mineral products",2007,80.4
331,"Primary metals",2007,185.4
332,"Fabricated metal products",2007,204.8
333,"Machinery",2007,222.6
334,"Computer and electronic products",2007,203.5
335,"Electrical equipment, appliances, and components",2007,75.9
3361MV,"Motor vehicles, bodies and trailers, and parts",2007,400.2
3364OT,"Other transportation equipment",2007,151.8
337,"Furniture and related products",2007,51.7
339,"Miscellaneous manufacturing",2007,83.3
33DG,"Durable goods",2007,1728.0
42,"Wholesale trade",2007,417.4
441,"Motor vehicle and parts dealers",2007,48.7
445,"Food and beverage stores",2007,63.6
44RT,"Retail trade",2007,452.8
452,"General merchandise stores",2007,71.6
481,"Air transportation",2007,83.6
482,"Rail transportation",2007,28.4
483,"Water transportation",2007,33.8
484,"Truck transportation",2007,158.2
485,"Transit and ground passenger transportation",2007,18.6
486,"Pipeline transportation",2007,11.5
487OS,"Other transportation and support activities",2007,89.2
48TW,"Transportation and warehousing",2007,451.5
493,"Warehousing and storage",2007,28.6
4A0,"Other retail",2007,268.6
51,"Information",2007,516.3
511,"Publishing industries, except internet (includes software)",2007,115.7
512,"Motion picture and sound recording industries",2007,63.4
513,"Broadcasting and telecommunications",2007,280.7
514,"Data processing, internet publishing, and other information services",2007,56.4
52,"Finance and insurance",2007,1024.7
521CI,"Federal Reserve banks, credit intermediation, and related activities",2007,317.2
523,"Securities, commodity contracts, and investments",2007,301.8
524,"Insurance carriers and related activities",2007,317.6
525,"Funds, trusts, and other financial vehicles",2007,87.2
53,"Real estate and rental and leasing",2007,807.7
531,"Real estate",2007,706.0
532RL,"Rental and leasing services and lessors of intangible assets",2007,101.8
54,"Professional, scientific, and technical services",2007,589.0
5411,"Legal services",2007,74.8
5412OP,"Miscellaneous professional, scientific, and technical services",2007,430.3
5415,"Computer systems design and related services",2007,84.0
55,"Management of companies and enterprises",2007,174.8
56,"Administrative and waste management services",2007,241.3
561,"Administrative and support services",2007,199.3
562,"Waste management and remediation services",2007,42.0
6,"Educational services, health care, and social assistance",2007,733.1
61,"Educational services",2007,90.5
62,"Health care and social assistance",2007,642.8
621,"Ambulatory health care services",2007,277.4
622,"Hospitals",2007,244.5
623,"Nursing and residential care facilities",2007,65.9
624,"Social assistance",2007,55.0
7,"Arts, entertainment, recreation, accommodation, and food services",2007,432.6
71,"Arts, entertainment, and recreation",2007,104.4
711AS,"Performing arts, spectator sports, museums, and related activities",2007,53.3
713,"Amusements, gambling, and recreation industries",2007,51.1
72,"Accommodation and food services",2007,328.2
721,"Accommodation",2007,74.9
722,"Food services and drinking places",2007,253.3
81,"Other services, except government",2007,206.8
FIRE,"Finance, insurance, real estate, rental, and leasing",2007,1832.4
G,"Government",2007,1063.8
GF,"Federal",2007,340.5
GFE,"Government enterprises",2007,29.9
GFG,"General government",2007,310.5
GFGD,"National defense",2007,222.0
GFGN,"Nondefense",2007,88.5
GSL,"State and local",2007,722.7
GSLE,"Government enterprises",2007,127.9
GSLG,"General government",2007,595.4
HS,"Housing",2007,139.4
ICT,"Information-communications-technology-producing industries [4]",2007,600.8
II,"All industries",2007,11771.6
NABI,"Not allocated by industry [1]",2007,8.2
ORE,"Other real estate",2007,566.7
PGOOD,"Private goods-producing industries [2]",2007,4468.4
PROF,"Professional and business services",2007,1005.0
PSERV,"Private services-producing industries [3]",2007,6224.7
PVT,"Private industries",2007,10705.3
11,"Agriculture, forestry, fishing, and hunting",2008,210.7
111CA,"Farms",2008,196.5
113FF,"Forestry, fishing, and related activities",2008,14.2
21,"Mining",2008,157.6
211,"Oil and gas extraction",2008,82.9
212,"Mining, except oil and gas",2008,50.6
213,"Support activities for mining",2008,21.7
22,"Utilities",2008,184.0
23,"Construction",2008,594.6
311FT,"Food and beverage and tobacco products",2008,535.3
313TT,"Textile mills and textile product mills",2008,38.8
315AL,"Apparel and leather and allied products",2008,10.0
31G,"Manufacturing",2008,3224.8
31ND,"Nondurable goods",2008,1641.6
321,"Wood products",2008,58.4
322,"Paper products",2008,120.6
323,"Printing and related support activities",2008,53.5
324,"Petroleum and coal products",2008,365.1
325,"Chemical products",2008,389.3
326,"Plastics and rubber products",2008,133.5
327,"Nonmetallic mineral products",2008,68.7
331,"Primary metals",2008,186.6
332,"Fabricated metal products",2008,203.1
333,"Machinery",2008,215.2
334,"Computer and electronic products",2008,182.2
335,"Electrical equipment, appliances, and components",2008,67.0
3361MV,"Motor vehicles, bodies and trailers, and parts",2008,324.4
3364OT,"Other transportation equipment",2008,156.8
337,"Furniture and related products",2008,47.9
339,"Miscellaneous manufacturing",2008,81.8
33DG,"Durable goods",2008,1593.2
42,"Wholesale trade",2008,427.9
441,"Motor vehicle and parts dealers",2008,36.3
445,"Food and beverage stores",2008,63.6
44RT,"Retail trade",2008,419.1
452,"General merchandise stores",2008,72.4
481,"Air transportation",2008,83.7
482,"Rail transportation",2008,27.5
483,"Water transportation",2008,33.6
484,"Truck transportation",2008,151.1
485,"Transit and ground passenger transportation",2008,17.4
486,"Pipeline transportation",2008,10.3
487OS,"Other transportation and support activities",2008,82.9
48TW,"Transportation and warehousing",2008,433.6
493,"Warehousing and storage",2008,27.2
4A0,"Other retail",2008,246.8
51,"Information",2008,511.2
511,"Publishing industries, except internet (includes software)",2008,119.6
512,"Motion picture and sound recording industries",2008,49.4
513,"Broadcasting and telecommunications",2008,281.1
514,"Data processing, internet publishing, and other information services",2008,61.0
52,"Finance and insurance",2008,1052.6
521CI,"Federal Reserve banks, credit intermediation, and related activities",2008,290.7
523,"Securities, commodity contracts, and investments",2008,305.4
524,"Insurance carriers and related activities",2008,371.1
525,"Funds, trusts, and other financial vehicles",2008,85.8
53,"Real estate and rental and leasing",2008,720.0
531,"Real estate",2008,614.1
532RL,"Rental and leasing services and lessors of intangible assets",2008,105.8
54,"Professional, scientific, and technical services",2008,559.5
5411,"Legal services",2008,49.5
5412OP,"Miscellaneous professional, scientific, and technical services",2008,416.8
5415,"Computer systems design and related services",2008,93.2
55,"Management of companies and enterprises",2008,175.8
56,"Administrative and waste management services",2008,241.1
561,"Administrative and support services",2008,198.2
562,"Waste management and remediation services",2008,43.0
6,"Educational services, health care, and social assistance",2008,738.4
61,"Educational services",2008,93.8
62,"Health care and social assistance",2008,644.7
621,"Ambulatory health care services",2008,275.5
622,"Hospitals",2008,246.8
623,"Nursing and residential care facilities",2008,65.5
624,"Social assistance",2008,56.9
7,"Arts, entertainment, recreation, accommodation, and food services",2008,430.6
71,"Arts, entertainment, and recreation",2008,105.9
711AS,"Performing arts, spectator sports, museums, and related activities",2008,53.9
713,"Amusements, gambling, and recreation industries",2008,52.0
72,"Accommodation and food services",2008,324.7
721,"Accommodation",2008,74.2
722,"Food services and drinking places",2008,250.6
81,"Other services, except government",2008,217.8
FIRE,"Finance, insurance, real estate, rental, and leasing",2008,1772.5
G,"Government",2008,1082.8
GF,"Federal",2008,378.6
GFE,"Government enterprises",2008,32.9
GFG,"General government",2008,345.6
GFGD,"National defense",2008,246.1
GFGN,"Nondefense",2008,99.4
GSL,"State and local",2008,704.2
GSLE,"Government enterprises",2008,124.2
GSLG,"General government",2008,580.6
HS,"Housing",2008,122.1
ICT,"Information-communications-technology-producing industries [4]",2008,606.7
II,"All industries",2008,11399.8
NABI,"Not allocated by industry [1]",2008,6.4
ORE,"Other real estate",2008,492.1
PGOOD,"Private goods-producing industries [2]",2008,4190.6
PROF,"Professional and business services",2008,976.4
PSERV,"Private services-producing industries [3]",2008,6118.5
PVT,"Private industries",2008,10315.3
11,"Agriculture, forestry, fishing, and hunting",2009,204.3
111CA,"Farms",2009,191.4
113FF,"Forestry, fishing, and related activities",2009,12.9
21,"Mining",2009,90.1
211,"Oil and gas extraction",2009,39.0
